1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
7,5,4,2,5,0,2,1,2,0,1,2,0,1,0,0
0,0,3,0,0,3,4,0,0,0,0,2,0,0,0,1
0,4,8,1,0,1,5,1,0,0,0,1,1,0,2,0
0,0,7,0,2,2,4,2,1,0,0,8,0,0,4,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
0,1,1,0,0,0,0,1,0,1,0,13,5,0,1,0
9,12,4,10,32,12,9,10,5,10,40,199,34,22,30,5
20,26,106,45,91,12,6,8,25,50,532,468,180,114,129,20
0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0
0,3,0,0,1,0,0,0,0,0,1,33,0,0,1,0
0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0
14,19,93,20,39,21,34,29,8,57,171,350,80,76,77,32
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,3,0,1,1,2,2,3,0,6,4,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,2,3,1,0,1,1,0,0,0,0,2,0,0,2
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
4,3,1,1,0,3,1,0,0,0,1,0,0,2,0,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
